orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
H-305,all,26,14,1111,2570,8,76944,0,0,0,0,0,H,3,Alveolar type 1 cell,40,15,2,2,2_2,InflamMac
H-309,all,18,14,1919,2162,35,59732,0,0,0,0,0,H,2,Alveolar fibroblast 1,38,14,1,1,1_5_2,AlveolarFib
H-312,all,37,23,587,2955,30,65613,0,0,0,0,0,H,6,Arterial endothelial cell,41,24,2,2,2_4,Artery
H-314,all,16,12,1160,3652,8,37918,0,0,0,0,0,H,2,Alveolar fibroblast 1,32,12,2,2,2_6,pDC
H-315,all,45,30,621,2540,12,100938,0,0,0,0,0,H,12,Alveolar fibroblast 1,47,31,3,3,3_5,SMC
H-316,all,31,23,1942,2888,34,65628,0,0,0,0,0,H,6,Ciliated cell,38,24,3,3,3_1,SMC
H-317,all,31,16,1566,3617,19,71307,0,0,0,0,0,H,14,Alveolar type 1 cell,40,17,3,3,3_1,SMC
H-319,all,22,14,233,3133,36,33744,0,0,0,0,0,H,4,Alveolar type 1 cell,40,14,6,6,6,AT1
H-321,all,62,44,1576,3561,23,128278,0,0,0,0,0,H,12,Natural killer cell,58,46,2,2,2_5,DC
H-322,all,36,18,556,2517,18,81907,0,0,0,0,0,H,4,Pericyte,42,18,5,5,5_3,Pericyte
H-324,all,86,17,158,2897,34,80637,0,0,0,0,0,H,71,Alveolar type 2 cell,55,17,1,1,1_1,AT2
H-325,all,25,13,60,3355,10,38608,0,52,0,1,0,H,8,Pericyte,43,13,5,5,5_1,Pericyte
H-326,all,33,17,241,3098,30,44131,0,0,0,0,0,H,3,Ciliated cell,41,17,6,6,6,AT1
H-327,all,20,15,319,2026,24,64928,0,0,0,0,0,H,8,Innate lymphoid cell,36,15,7,7,7_2,PatrolMac
H-328,all,46,34,451,2452,18,85633,0,0,0,0,0,H,10,Alveolar fibroblast 1,46,34,1,1,1_5_2,AlveolarFib
H-329,all,33,27,1757,2492,20,62168,0,0,0,0,0,H,7,Pericyte,37,27,5,5,5_1,Pericyte
H-330,all,48,31,933,2954,14,91116,0,0,0,0,0,H,4,B cell,48,31,2,2,2_6,pDC
H-331,all,40,27,631,2718,37,50816,0,0,0,0,0,H,2,Alveolar fibroblast 1,42,28,2,2,2_3,Vein
H-332,all,6,5,1605,3481,35,27304,0,0,0,0,0,H,4,Capillary 1 cell,23,8,1,1,1_3,AT2
H-333,all,72,18,293,3249,19,76603,0,0,0,0,0,H,55,Sox9+/Id2+ epithelial cell,53,18,1,1,1_1,AT2
H-334,all,24,14,400,3028,16,36557,0,0,0,0,0,H,2,Alveolar type 1 cell,42,14,6,6,6,AT1
H-335,all,36,18,1504,3305,37,66304,0,0,0,0,0,H,8,Alveolar macrophage,42,18,8,8,8_1,AlveolarMac
H-336,all,11,11,893,3435,26,35134,0,0,0,0,0,H,2,CD8+ T cell,28,11,7,7,7_2,PatrolMac
H-337,all,39,23,362,3038,24,71199,0,0,0,0,0,H,3,Alveolar fibroblast 1,42,24,3,3,3_1,SMC
H-338,all,112,27,137,2390,15,93466,0,0,0,0,0,H,83,AT1/AT2,48,14,1,1,1_3,AT2
