orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-279,all,6,4,316,1310,36,19469,0,0,0,0,0,A,3,Sox9+/Id2+ epithelial cell,31,6,1,1,1_1,AT2
A-280,all,29,11,1708,1003,18,50330,0,0,0,0,0,A,22,Alveolar type 2 cell,43,11,1,1,1_1,AT2
A-282,all,39,27,88,1941,24,50285,0,0,0,0,0,A,5,Pericyte,42,28,3,3,3_5,SMC
A-283,all,39,26,1807,1132,23,50810,0,0,0,0,0,A,4,Capillary 1 cell,39,26,2,2,2_1,Capillary
A-288,all,42,30,1509,643,34,53310,0,0,0,0,0,A,11,Alveolar fibroblast 1,43,31,3,3,3_1,SMC
A-290,all,60,20,1500,1304,17,48808,0,0,0,0,0,A,39,Capillary 1 cell,53,20,2,2,2_3,Vein
A-291,all,35,21,1452,103,18,54901,0,0,0,0,0,A,11,Pericyte,44,22,3,3,3_5,SMC
A-292,all,10,5,196,221,37,17301,0,0,0,0,0,A,4,Pericyte,26,5,5,5,5_1,Pericyte
A-293,all,76,32,1108,1491,33,78663,0,0,0,0,0,A,12,Alveolar type 1 cell,56,32,6,6,6,AT1
A-294,all,51,31,1730,257,21,71544,0,0,0,0,0,A,8,Alveolar fibroblast 1,49,30,1,1,1_5_1,LymphaticEndo
A-296,all,30,9,325,1870,25,32302,0,0,0,0,0,A,24,AT1/AT2,42,9,1,1,1_1,AT2
A-297,all,43,15,838,1841,27,37297,0,0,0,0,0,A,31,Alveolar type 2 cell,46,15,1,1,1_1,AT2
A-299,all,20,14,123,173,22,38876,0,0,0,0,0,A,5,B cell,38,14,9,9,9,Bcell
A-304,all,8,7,723,1738,37,13864,0,0,0,0,0,A,2,Alveolar type 1 cell,28,7,6,6,6,AT1
A-306,all,19,13,340,1280,30,52160,0,0,0,0,0,A,12,Pericyte,39,13,5,5,5_3,Pericyte
A-307,all,48,12,325,942,38,67005,0,0,0,0,0,A,7,Alveolar type 1 cell,48,12,6,6,6,AT1
A-309,all,18,16,1823,1111,33,24681,0,0,0,0,0,A,3,Alveolar type 1 cell,37,16,1,1,1_5_4,pDC
A-311,all,83,26,1641,1079,20,96477,0,0,0,0,0,A,58,Alveolar type 2 cell,56,26,1,1,1_3,AT2
A-312,all,19,15,621,1842,36,28221,0,0,0,0,0,A,7,Capillary 1 cell,39,15,5,5,5_1,Pericyte
A-314,all,26,16,1693,1105,17,47951,0,0,0,0,0,A,4,Alveolar fibroblast 1,44,16,3,3,3_4,AdventitialFib
A-315,all,126,26,724,171,28,75058,0,0,0,0,0,A,108,Alveolar type 2 cell,46,9,1,1,1_3,AT2
A-316,all,45,28,631,1802,35,69996,0,0,0,0,0,A,10,Pericyte,45,28,5,5,5_1,Pericyte
A-317,all,6,4,1379,758,26,27515,58,0,58,0,1,A,2,Natural killer cell,28,5,2,2,2_2,InflamMac
A-318,all,124,39,1013,1521,11,96235,58,0,58,0,1,A,21,Alveolar type 1 cell,45,18,6,6,6,AT1
A-320,all,82,40,16,1855,20,78180,0,0,0,0,0,A,2,Capillary 1 cell,60,40,2,2,2_3,Vein
A-324,all,49,17,1207,15,26,58528,0,0,0,0,0,A,5,B cell,49,17,7,7,7_3,Tcell (CD8)
A-325,all,28,19,1147,1152,27,43600,0,0,0,0,0,A,10,Capillary 1 cell,45,19,1,1,1_1,AT2
A-326,all,70,22,451,318,34,66825,0,0,0,0,0,A,50,Alveolar type 2 cell,52,22,1,1,1_3,AT2
A-328,all,17,9,1197,1179,22,21064,0,0,0,0,0,A,6,Proliferative mesenchymal progenitor cell,38,9,3,3,3_3,AdventitialFib
A-329,all,75,39,299,1567,13,87892,0,0,0,0,0,A,25,Arterial endothelial cell,58,39,5,5,5_3,Pericyte
